Source Name,Sample Name,Characteristics: Organism,Characteristics: ecotype,Characteristics: Seed Source,Characteristics: Material Type,Characteristics: Launch Mission,Factor Value: Spaceflight,Factor Value: Genotype,Protocol REF,Parameter Value: Hardware,Parameter Value: light cycle,Parameter Value: growth environment,Parameter Value: Growth Medium,Parameter Value: Growth Time,Parameter Value: Quantity of growth medium,Parameter Value: Number of seeds per container,Parameter Value: light regimen,Protocol REF,Comment: Sample Description,Protocol REF,Parameter Value: Sample Preservation Method,Parameter Value: Sample Storage Temperature,Protocol REF,Parameter Value: ionizing radiation,Parameter Value: vehicle,Parameter Value: absorbed radiation dose,Parameter Value: absorbed radiation dose rate,Parameter Value: exposure duration,Parameter Value: ionizing radiation categorized by source
60_GB3_S20_L002_R1_001 (bzip60G_2),GSM4486044,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,Not Applicable,Ground Control,bzip60-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip60-2_Ground_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
60_GC1_S25_L003_R1_001 (bzip60G_3),GSM4486045,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,Not Applicable,Ground Control,bzip60-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip60-2_Ground_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
60_GD2_S33_L003_R1_001 (bzip60G_4),GSM4486046,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,Not Applicable,Ground Control,bzip60-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip60-2_Ground_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
68_FA3_S5_L001_R1_001 (bzip28 bzip60F_1),GSM4486047,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,SpaceX-12,Space Flight,bzip28-2 bzip60-1,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS-US Laboratory,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip28-2 bzip60-1_Space flight_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,space radiation,ISS-US Laboratory,3.007 milligray,0.231 milligray per day,13 day,outer space
68_FA4_S34_L004_R1_001 (bzip28 bzip60F_2),GSM4486048,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,SpaceX-12,Space Flight,bzip28-2 bzip60-1,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS-US Laboratory,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip28-2 bzip60-1_Space flight_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,space radiation,ISS-US Laboratory,3.007 milligray,0.231 milligray per day,13 day,outer space
68_FB4_S4_L001_R1_001 (bzip28 bzip60F_3),GSM4486049,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,SpaceX-12,Space Flight,bzip28-2 bzip60-1,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS-US Laboratory,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip28-2 bzip60-1_Space flight_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,space radiation,ISS-US Laboratory,3.007 milligray,0.231 milligray per day,13 day,outer space
68_FC2_S8_L001_R1_001 (bzip28 bzip60F_4),GSM4486050,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,SpaceX-12,Space Flight,bzip28-2 bzip60-1,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS-US Laboratory,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip28-2 bzip60-1_Space flight_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,space radiation,ISS-US Laboratory,3.007 milligray,0.231 milligray per day,13 day,outer space
68_FD3_S16_L002_R1_001 (bzip28 bzip60F_5),GSM4486051,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,SpaceX-12,Space Flight,bzip28-2 bzip60-1,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS-US Laboratory,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip28-2 bzip60-1_Space flight_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,space radiation,ISS-US Laboratory,3.007 milligray,0.231 milligray per day,13 day,outer space
68_GA3_S13_L002_R1_001 (bzip28 bzip60G_1),GSM4486052,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,Not Applicable,Ground Control,bzip28-2 bzip60-1,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip28-2 bzip60-1_Ground_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
68_GA4_S15_L002_R1_001 (bzip28 bzip60G_2),GSM4486053,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,Not Applicable,Ground Control,bzip28-2 bzip60-1,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip28-2 bzip60-1_Ground_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
68_GB4_S32_L003_R1_001 (bzip28 bzip60G_3),GSM4486054,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,Not Applicable,Ground Control,bzip28-2 bzip60-1,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip28-2 bzip60-1_Ground_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
68_GC2_S26_L003_R1_001 (bzip28 bzip60G_5),GSM4486055,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,Not Applicable,Ground Control,bzip28-2 bzip60-1,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip28-2 bzip60-1_Ground_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
68_GD3_S24_L003_R1_001 (bzip28 bzip60G_4),GSM4486056,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,Not Applicable,Ground Control,bzip28-2 bzip60-1,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip28-2 bzip60-1_Ground_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IRE1_FA6_S38_L004_R1_001 (ire1a ire1bF_1),GSM4486057,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,SpaceX-12,Space Flight,ire1a-4 ire1b-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,ire1a-4 ire1b-2_Space flight_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,space radiation,ISS-US Laboratory,3.007 milligray,0.231 milligray per day,13 day,Not Applicable
IRE1_FB5_S6_L001_R1_001 (ire1a ire1bF_2),GSM4486058,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,SpaceX-12,Space Flight,ire1a-4 ire1b-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,ire1a-4 ire1b-2_Space flight_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,space radiation,ISS-US Laboratory,3.007 milligray,0.231 milligray per day,13 day,Not Applicable
IRE1_FC4_S40_L004_R1_001 (ire1a ire1bF_3),GSM4486059,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,SpaceX-12,Space Flight,ire1a-4 ire1b-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,ire1a-4 ire1b-2_Space flight_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,space radiation,ISS-US Laboratory,3.007 milligray,0.231 milligray per day,13 day,Not Applicable
IRE1_FD1_S12_L002_R1_001 (ire1a ire1bF_4),GSM4486060,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,SpaceX-12,Space Flight,ire1a-4 ire1b-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,ire1a-4 ire1b-2_Space flight_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,space radiation,ISS-US Laboratory,3.007 milligray,0.231 milligray per day,13 day,Not Applicable
IRE1_GA6_S44_L004_R1_001 (ire1a ire1bG_1),GSM4486061,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,Not Applicable,Ground Control,ire1a-4 ire1b-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,ire1a-4 ire1b-2_Ground_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IRE1_GB5_S23_L003_R1_001 (ire1a ire1bG_2),GSM4486062,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,Not Applicable,Ground Control,ire1a-4 ire1b-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,ire1a-4 ire1b-2_Ground_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IRE1_GC4_S37_L004_R1_001 (ire1a ire1bG_3),GSM4486063,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,Not Applicable,Ground Control,ire1a-4 ire1b-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,ire1a-4 ire1b-2_Ground_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IRE1_GD1_S31_L003_R1_001 (ire1a ire1bG_4),GSM4486064,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,Not Applicable,Ground Control,ire1a-4 ire1b-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,ire1a-4 ire1b-2_Ground_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WT_FA1_S1_L001_R1_001 (WTF_1),GSM4486065,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,SpaceX-12,Space Flight,Wild Type,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS-US Laboratory,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,WT_Space flight_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,space radiation,ISS-US Laboratory,3.007 milligray,0.231 milligray per day,13 day,outer space
